[2025-07-11 00:00:31,157] INFO [QuorumController id=1] Replaying ProducerIdsRecord ProducerIdsRecord(brokerId=1, brokerEpoch=7, nextProducerId=1000) (org.apache.kafka.controller.ProducerIdControlManager)
[2025-07-11 00:03:24,081] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-11 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,081] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-12 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,081] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-13 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,082] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-14 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,082] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-15 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,083] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-16 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,083] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-17 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,084] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-18 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,084] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-19 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,084] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-20 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,085] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-21 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,085] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-22 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,086] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-23 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,086] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-24 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,086] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-25 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,087] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-26 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,087] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-27 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,088] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-28 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2025-07-11 00:03:24,088] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-29 with topic ID nUzKts9kT0qNZWB4mza2gw and PartitionRegistration(replicas=[1], directories=[H4rPQfMFbd6LsPKSEEPATA], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
